TB,Pad8590,Pad8373,Pad2378,Pad2124,Pad1319
335,1.58755,1.78741,3.22135,2.77498,3.7395
336,2.0138,1.85913,3.69665,2.23694,2.94457
337,3.02412,2.41396,3.53147,2.41255,2.39335
338,3.1829,2.85148,2.76343,2.40559,2.79457
339,2.68661,2.57442,2.18452,2.36693,3.403
340,2.27158,2.32603,2.4182,2.97688,3.26207
341,1.71337,2.74797,3.19115,3.70131,2.54515
342,1.60358,3.17073,3.65444,3.78788,1.99267
343,2.21042,3.23961,3.46545,3.20803,1.77787
344,3.02812,3.345,2.87565,2.83922,1.9298
345,3.3285,3.33069,2.72853,3.02149,1.88042
346,3.36972,2.61145,3.32906,3.3958,2.001
347,3.43399,1.78166,3.66767,3.52662,2.66756
348,2.98254,1.87628,3.34708,3.46431,3.13618
349,2.18358,2.54974,3.37815,3.56359,2.58509
350,1.56231,2.86871,3.96269,4.17545,1.37708
351,1.4115,2.96625,4.04241,4.47277,0.719385
352,1.91159,3.27933,3.55949,3.94227,1.15714
353,2.62982,3.32419,2.91189,3.07923,2.02895
354,2.58495,2.49159,2.43307,2.4772,2.3638
355,2.18472,1.62306,2.74577,2.45723,2.41572
356,2.33995,1.55041,3.6203,3.03014,2.27194
357,2.82983,1.89768,4.14592,3.63048,1.85864
358,3.08216,2.47577,3.65877,3.31587,1.98825
359,3.06316,3.31497,2.64834,2.61534,2.89898
360,3.37512,3.68204,2.25918,2.57841,3.76338
361,3.62981,3.58626,2.54298,3.18538,3.68269
362,2.93279,2.91713,3.2707,3.49651,2.74757
363,2.03083,1.96213,4.07606,3.11156,2.14569
364,1.95829,1.83056,4.28994,2.42518,1.90357
365,2.39537,2.48616,3.65347,2.39007,1.48653
366,2.48968,3.12122,2.87028,3.6039,1.3018
367,2.11625,2.98584,2.62668,4.61707,2.05856
368,1.85468,2.57469,2.95139,4.39785,3.07938
369,2.22626,2.62867,3.57412,3.39627,3.47676
370,3.2092,2.7,4.04076,2.55305,3.38686
371,4.12312,2.33873,3.81439,2.3594,3.31465
372,3.6513,1.95365,3.47895,2.64743,3.39891
373,2.26405,2.03573,3.37021,3.26798,2.85079
374,1.7935,2.39881,3.09674,3.61348,1.78129
375,2.69423,2.9263,2.59015,3.20178,1.14941
376,3.6443,3.39593,2.05785,2.53674,2.00766
377,3.58434,3.11346,1.98711,1.99413,3.24496
378,2.76457,2.11546,2.52528,1.69568,3.37167
379,2.57933,1.53166,3.20351,2.32561,2.34107
380,3.31069,2.05961,3.32119,3.59464,1.20612
381,3.72002,3.15429,2.76983,4.248,0.892753
382,2.7528,3.31679,2.68048,3.87446,1.486
383,1.16135,2.76755,3.26471,2.7856,2.22987
384,0.885304,2.67617,3.95599,2.21111,2.25702
385,2.16166,3.09515,4.32818,2.62962,2.01475
386,3.49148,3.21522,3.80275,2.74628,2.07225
387,3.52899,2.70011,2.71614,2.20348,2.28659
388,2.79221,2.33974,2.25614,2.12532,2.23384
389,2.38414,2.65676,2.62491,2.61821,2.02733
390,2.53435,3.27066,3.35783,3.31389,1.83835
391,3.04802,3.16646,3.74129,3.63173,2.15706
392,2.89228,2.3109,3.4866,3.22497,3.18314
393,1.86286,1.71946,2.71554,2.30276,4.12368
394,1.47134,1.88188,2.07672,2.10922,3.76656
395,2.32079,2.58136,2.28316,2.80497,2.47045
396,3.23388,3.17783,2.64852,2.88228,1.82825
397,3.61634,3.18846,2.81901,2.32172,2.33882
398,3.33855,2.52449,3.17139,2.17356,2.92509
399,2.7332,1.99219,3.92494,2.69851,2.69501
400,2.31702,2.00627,4.529,3.42586,2.67087
401,2.0737,1.88378,4.04532,3.64673,2.98685
402,1.74303,1.74417,2.75411,3.07288,2.85161
403,1.65551,2.3823,2.14583,2.20145,2.23216
404,1.88326,3.26372,2.96438,1.80995,2.29898
405,2.09163,3.51644,4.45443,2.22281,2.70395
406,2.06957,2.53845,5.02125,2.89653,2.66205
407,2.15654,1.40471,4.14042,3.47309,2.3674
408,2.47841,1.52336,2.62958,3.79285,2.23144
409,2.55223,2.46736,1.77684,3.59849,2.58219
410,2.22096,3.08388,1.97467,3.39432,3.35193
411,2.12487,2.97451,2.73134,3.19545,3.67414
412,2.46858,2.4063,3.65698,2.80696,2.79416
413,2.64917,1.96951,3.91283,2.37583,1.6728
414,2.38285,2.06576,3.69979,2.10697,1.64091
415,2.18192,2.26112,3.48355,2.29738,2.55259
416,2.24918,2.22711,3.50072,3.05741,3.12344
417,2.48267,1.9247,3.42371,3.63881,2.64044
418,2.8377,2.13069,3.14877,3.74406,1.92923
419,3.18254,3.03342,3.30195,3.29781,1.52008
420,2.97111,3.70938,3.81913,2.08325,1.53807
421,2.40261,3.55121,4.26182,0.963226,2.18996
422,2.23667,2.77398,4.41519,1.1629,2.83419
423,2.48231,2.47298,4.02483,2.18269,2.65693
424,2.60738,2.80816,3.43702,2.85759,1.80987
425,2.26485,2.58207,3.34486,2.7118,1.38874
426,1.6437,1.80787,3.45883,2.5273,1.93093
427,1.63241,1.59762,3.56384,2.97178,2.51122
428,2.3902,2.36758,3.40974,3.71502,2.61064
429,2.9237,3.39158,2.88852,3.75663,2.44061
430,2.394,3.40532,2.52932,2.83994,2.73348
431,1.41585,2.32327,2.52502,2.03989,3.26834
432,1.52657,1.33832,2.98305,2.08493,3.26458
433,2.53044,1.4285,3.80093,2.7402,2.90152
434,2.88901,2.43967,4.39212,3.15512,2.72914
435,2.23609,3.34464,3.98412,2.96549,2.6777
436,1.57129,3.12486,2.69445,2.30739,2.29241
437,1.56705,2.21841,1.92249,1.95668,1.81051
438,1.86271,1.81915,2.60051,2.30052,1.89224
439,2.04305,2.4224,3.69388,3.26984,2.58549
440,2.2306,3.17254,4.06546,3.77295,3.18357
441,2.09447,2.55919,4.47014,3.45446,3.208
442,2.30188,1.5057,5.0086,2.73904,2.68938
443,3.10406,1.43983,4.86104,2.53646,1.93822
444,3.61324,2.23038,3.7971,3.03276,1.58873
445,2.9619,2.86406,2.50741,3.42684,2.06468
446,1.72176,2.67401,2.00917,3.36049,2.90433
447,1.38291,1.97105,2.45145,3.17728,3.34847
448,1.86616,1.81728,3.23797,3.10011,3.19396
449,2.48955,2.21331,3.46224,2.90205,2.53978
450,2.75011,2.19791,3.0749,2.45861,1.90192
451,2.281,1.74942,2.69264,2.2756,1.56808
452,1.78172,1.74431,2.70031,2.37058,1.99908
453,1.73523,2.23564,3.18747,2.633,2.39808
